Date,Open,Close,Max,Min,Volume(mln. PLN),Change(%)
1994-08-02,16.47,16.47,16.47,16.47,0.0,0.0
1994-08-04,19.93,19.93,19.93,19.93,0.0,21.0
1994-08-09,21.41,21.41,21.41,21.41,0.0,7.44
1994-08-10,20.17,20.17,20.17,20.17,0.0,-5.77
1994-08-11,19.76,19.76,19.76,19.76,0.0,-2.04
1994-08-16,21.0,21.0,21.0,21.0,0.0,6.25
1994-08-17,22.03,22.03,22.03,22.03,0.0,4.9
1994-08-18,19.84,19.84,19.84,19.84,0.0,-9.91
1994-08-22,20.59,20.59,20.59,20.59,0.0,3.73
1994-08-25,16.67,16.67,16.67,16.67,0.0,-19.0
1994-08-29,17.99,17.99,17.99,17.99,0.0,7.9
1994-08-30,17.91,17.91,17.91,17.91,0.0,-0.46
1994-08-31,16.88,16.88,16.88,16.88,0.0,-5.75
1994-09-01,16.47,16.47,16.47,16.47,0.0,-2.44
1994-09-05,15.65,15.65,15.65,15.65,0.0,-5.0
1994-09-06,14.08,14.08,14.08,14.08,0.0,-10.0
1994-09-07,12.68,12.68,12.68,12.68,0.0,-9.94
1994-09-08,13.92,13.92,13.92,13.92,0.0,9.74
1994-09-12,15.27,15.27,15.27,15.27,0.0,9.76
1994-09-14,14.0,14.0,14.0,14.0,0.0,-8.36
1994-10-06,13.38,13.38,13.38,13.38,0.0,-4.41
1994-10-18,13.59,13.59,13.59,13.59,0.0,1.54
1994-10-19,13.38,13.38,13.38,13.38,0.0,-1.52
1994-10-20,13.13,13.13,13.13,13.13,0.0,-1.85
1994-10-21,12.47,12.47,12.47,12.47,0.0,-5.02
1994-10-24,11.53,11.53,11.53,11.53,0.0,-7.59
1994-10-25,11.69,11.69,11.69,11.69,0.0,1.43
1994-10-26,11.73,11.73,11.73,11.73,0.0,0.35
1994-10-27,11.12,11.12,11.12,11.12,0.0,-5.26
1994-10-28,10.91,10.91,10.91,10.91,0.0,-1.85
1994-11-02,11.98,11.98,11.98,11.98,0.0,9.81
1994-11-03,11.86,11.86,11.86,11.86,0.0,-1.03
1994-11-04,11.82,11.82,11.82,11.82,0.0,-0.35
1994-11-07,11.73,11.73,11.73,11.73,0.0,-0.7
1994-11-08,11.73,11.73,11.73,11.73,0.0,0.0
